fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00001154	MMT00022605	0.221996196492497	undirected	2600001J17Rik	Mcm5
MMT00001154	MMT00023318	0.170044448836578	undirected	2600001J17Rik	Kntc1
MMT00001154	MMT00023864	0.0935043519827777	undirected	2600001J17Rik	6720460F02Rik
MMT00001154	MMT00025627	0.0628872267710555	undirected	2600001J17Rik	Pcna
MMT00001154	MMT00025658	0.141581165324163	undirected	2600001J17Rik	Melk
MMT00001154	MMT00025972	0.138747456296554	undirected	2600001J17Rik	Knsl7
MMT00001154	MMT00026166	0.127968255485354	undirected	2600001J17Rik	AA545217
MMT00001154	MMT00026450	0.182760398406245	undirected	2600001J17Rik	Birc5
MMT00001154	MMT00026462	0.13494766834513	undirected	2600001J17Rik	Mad2l1
MMT00001154	MMT00026734	0.193632751142174	undirected	2600001J17Rik	Chek1
MMT00001154	MMT00027615	0.210507767363115	undirected	2600001J17Rik	Tacc3
MMT00001154	MMT00028594	0.0885086915662241	undirected	2600001J17Rik	2310035M22Rik
MMT00001154	MMT00029780	0.167186912254273	undirected	2600001J17Rik	2610036L13Rik
MMT00001154	MMT00030234	0.171584002905915	undirected	2600001J17Rik	1700022L09Rik
MMT00001154	MMT00030255	0.174045157425283	undirected	2600001J17Rik	Ccna2
MMT00001154	MMT00030413	0.0704171638955161	undirected	2600001J17Rik	Ddit4l
MMT00001154	MMT00030746	0.183853979400856	undirected	2600001J17Rik	2700084L22Rik
MMT00001154	MMT00031873	0.0640392597397126	undirected	2600001J17Rik	BC024139
MMT00001154	MMT00032264	0.117281087490413	undirected	2600001J17Rik	Nek2
MMT00001154	MMT00033001	0.141177193644644	undirected	2600001J17Rik	4930579G24Rik
MMT00001154	MMT00034383	0.198814638124229	undirected	2600001J17Rik	F730047E07Rik
MMT00001154	MMT00034407	0.173142138314104	undirected	2600001J17Rik	NA
MMT00001154	MMT00034605	0.169034969077743	undirected	2600001J17Rik	Hells
MMT00001154	MMT00035225	0.0610062458016126	undirected	2600001J17Rik	Gsta2
MMT00001154	MMT00036790	0.195083126753744	undirected	2600001J17Rik	Racgap1
MMT00001154	MMT00037097	0.189651485786281	undirected	2600001J17Rik	Timeless
MMT00001154	MMT00039457	0.0678703248165985	undirected	2600001J17Rik	2600017H08Rik
MMT00001154	MMT00041229	0.0969846782719379	undirected	2600001J17Rik	Mad2l1
MMT00001154	MMT00042835	0.0548809929038944	undirected	2600001J17Rik	Dnttip1
MMT00001154	MMT00043004	0.181765278359022	undirected	2600001J17Rik	Asf1b
MMT00001154	MMT00044983	0.150232117418147	undirected	2600001J17Rik	NA
MMT00001154	MMT00046909	0.11608880920264	undirected	2600001J17Rik	5430413I02Rik
MMT00001154	MMT00047216	0.0581294454242918	undirected	2600001J17Rik	2410030K01Rik
MMT00001154	MMT00047347	0.176233074452455	undirected	2600001J17Rik	Lig1
MMT00001154	MMT00047964	0.118053291453091	undirected	2600001J17Rik	Ect2
MMT00001154	MMT00048155	0.0693849992213393	undirected	2600001J17Rik	Slpi
MMT00001154	MMT00049429	0.189350462321901	undirected	2600001J17Rik	Uhrf1
MMT00001154	MMT00050107	0.120947009403884	undirected	2600001J17Rik	Trip13
MMT00001154	MMT00050815	0.126247105337878	undirected	2600001J17Rik	4632434I11Rik
MMT00001154	MMT00052629	0.160287975581676	undirected	2600001J17Rik	E130314M08Rik
MMT00001154	MMT00052927	0.237563677210644	undirected	2600001J17Rik	Shcbp1
MMT00001154	MMT00053241	0.0537027299296001	undirected	2600001J17Rik	Olig2
MMT00001154	MMT00054513	0.164514675353944	undirected	2600001J17Rik	D4Ertd421e
MMT00001154	MMT00055354	0.0867904099724118	undirected	2600001J17Rik	Pola1
MMT00001154	MMT00055454	0.173223299946554	undirected	2600001J17Rik	Stk6
MMT00001154	MMT00055541	0.205601474101164	undirected	2600001J17Rik	Rrm1
MMT00001154	MMT00055631	0.0747527941564883	undirected	2600001J17Rik	H2afz
MMT00001154	MMT00055810	0.17296194390799	undirected	2600001J17Rik	BC004701
MMT00001154	MMT00056001	0.129054369289638	undirected	2600001J17Rik	Pole2
MMT00001154	MMT00056866	0.0563199513228857	undirected	2600001J17Rik	Anxa5
MMT00001154	MMT00058315	0.184769208198066	undirected	2600001J17Rik	Mphosph1
MMT00001154	MMT00058618	0.16166131472485	undirected	2600001J17Rik	Ccnb2
MMT00001154	MMT00058765	0.177754088884591	undirected	2600001J17Rik	Pole
MMT00001154	MMT00060309	0.16283310657925	undirected	2600001J17Rik	Chtf18
MMT00001154	MMT00061334	0.133132118371702	undirected	2600001J17Rik	Anln
MMT00001154	MMT00063382	0.155999074166666	undirected	2600001J17Rik	Mcm2
MMT00001154	MMT00064300	0.171897551906783	undirected	2600001J17Rik	Cenpe
MMT00001154	MMT00065854	0.2058340162283	undirected	2600001J17Rik	BC025462
