nodeName	altName	nodeAttr[nodesPresent, ]
MMT00060559	Fgb	brown
MMT00060760	Chst7	brown
MMT00060868	Tubb2	red
MMT00060952	Rhbdf1	brown
MMT00061203	9330129D05Rik	brown
MMT00061256	1110032E23Rik	brown
MMT00061273	Osbpl3	red
MMT00061312	Lcat	red
MMT00061313	Slc43a1	brown
MMT00061334	Anln	red
MMT00061484	Dll4	brown
MMT00061509	Fabp4	brown
MMT00061586	9430059P22Rik	brown
MMT00061735	Hlx	brown
MMT00061739	Ppm1f	brown
MMT00061767	Tceal1	red
MMT00061815	Arhgap18	brown
MMT00061857	Lama2	brown
MMT00061884	Rragd	brown
MMT00061892	Jam3	brown
MMT00061998	Cpb2	brown
MMT00062460	Ntf3	brown
MMT00062787	Rnase4	brown
MMT00062990	Hc	brown
MMT00063198	AI428795	brown
MMT00063359	1110028A07Rik	brown
MMT00063382	Mcm2	red
MMT00063470	Agxt	brown
MMT00063623	Flt1	brown
MMT00064235	Ang1	brown
MMT00064300	Cenpe	red
MMT00064433	Rcn3	brown
MMT00064617	Vim	brown
MMT00064719	Mylip	brown
MMT00064851	1200009O22Rik	brown
MMT00064897	Cd34	brown
MMT00065001	Ehhadh	brown
MMT00065115	Fbn1	brown
MMT00065116	Cdc42ep3	brown
MMT00065159	Kng2	brown
MMT00065770	NA	brown
MMT00065854	BC025462	red
MMT00066001	Cdca1	red
MMT00066141	Mtnr1a	red
MMT00066813	Smc2l1	red
MMT00066884	Cav2	brown
MMT00067008	Prdc	brown
MMT00067079	Fetub	brown
MMT00067105	Stk39	brown
MMT00067156	Emcn	brown
MMT00067261	Serpinf2	brown
MMT00067296	Pdgfra	brown
MMT00067333	Cml1	red
MMT00067525	Ddah2	brown
MMT00067776	0610010O12Rik	red
MMT00067823	Anxa2	brown
MMT00067947	Nrg1	red
MMT00068013	Ccnb1	red
MMT00068357	Agt	red
MMT00068494	Entpd5	brown
MMT00068509	Oit3	brown
MMT00068530	P4ha1	brown
MMT00068808	Mcm6	red
MMT00068861	Cd63	brown
MMT00069111	BC034753	red
MMT00069165	Fbln5	brown
MMT00069425	Acyp2	brown
MMT00069686	Mlr1	red
MMT00069799	Calmbp1	red
MMT00069884	NA	brown
MMT00070040	Dck	red
MMT00070201	Icam2	brown
MMT00070277	2810432L12Rik	brown
MMT00070342	NA	brown
MMT00070429	Bace2	brown
MMT00070618	Npl	brown
MMT00070677	Il1r1	brown
MMT00070699	2310047C17Rik	red
MMT00070750	0610039P13Rik	brown
MMT00071052	A930021O22	brown
MMT00071189	S100a10	red
MMT00071242	2610001E17Rik	brown
MMT00071357	AW209059	red
MMT00071378	2610002D18Rik	red
MMT00071411	Slc30a2	brown
MMT00071664	Peg12	brown
